Name,E-mail,Trade Name,Registration No.,Telephone,Address,Exchange Name,Validity
ABN WEALTH (INDIA) PRIVATE LIMITED,info@abnwealth.com,Info,INZ000181437,9102249713392,"812 A Wing, Jaswanti Allied Business Center, Ramchandra Lane Extn., Malad (West),",BOMBAY STOCK EXCHANGE LIMITED,"Jun 10, 2022 - Perpetual"
ACEMONEY INTERMEDIARIES PRIVATE LIMITED,jiteshsingh@acemoneyindia.com,Jiteshsingh,INZ000104331,09101142700800,"907, 9th Floor, Kailash Building, 26, KG Marg,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Feb 01, 2022 - Perpetual"
ACHINTYA SECURITIES PRIVATE LIMITED,arpit@achintya.co.in,Arpit,INZ000009837,0919307988850,"27th Floor, Unit No. 2, Gift Two Tower Block No. 56, Road 5C, Zone 5, GIFT City",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Sep 22, 2015 - Perpetual"
ACK CAPITAL MANAGEMENT PVT. LTD.,ackcapital@yahoo.com,Ackcapital,INZ000241733,9102222721491,"PS-3, 2nd Floor, BSE Rotunda Building, Dalal Street, Fort,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jan 13, 1998 - Perpetual"
ACML CAPITAL MARKETS LIMITED,coo@acml.in,Coo,INZ000260134,9107926308875,"Kamdhenu Complex Opp. Sahajanand College, Nr Panjarapole",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Jun 07, 2000 - Perpetual"
ACROSS BROKING PRIVATE LIMITED,corporate@acrossbroking.com,Corporate,INZ000189534,910222272333,"2116, 21ST FLOOR P.J TOWERS, DALAL STREET, FORT",NSE Clearing Limited,"Jul 12, 2010 - Perpetual"
ACTIVE DERIVATIVES PRIVATE LIMITED,activederivatives@gmail.com,Activederivatives,INZ000246635,9101725048579,"PLOT NO.142, PHASE-2, INDUSTRIAL AREA,PANCHKULA,AMBALA",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Feb 05, 2014 - Perpetual"
ACUMEN CAPITAL MARKET (INDIA) LIMITED,mampilly@acmlmail.com,Mampilly,INZ000170434,04842383706,"38/1431, S.T.REDDIAR BLDG, VEEKSHNAM ROAD, ERNAKULUM",METROPOLITAN STOCK EXCHANGE,"Feb 20, 1996 - Perpetual"
ACUMEN SHARE SERVICES PRIVATE LIMITED,kparikh1997@gmail.com,Kparikh1997,INZ000282038,9102261209191,"301,ELPHINSTONE HOUSE, 17, MURZBAN RAOD, OPP STERLING CINEMA, FORT,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jun 30, 2021 - Perpetual"
ADI LIM BILIMORIA,alb00019@gmail.com,Alb00019,INZ000232018,9102222722209,"510, P J TOWERS, 5TH FLOOR, DALAL STREET, FORT,",BOMBAY STOCK EXCHANGE LIMITED,"Dec 23, 1993 - Perpetual"
ADINATH CAPITAL SERVICES LIMITED,adinathcap@yahoo.com,Adinathcap,INZ000275235,9101141564252,"17,NETAJI SUBHASH MARG, DARYA GANJ",BOMBAY STOCK EXCHANGE LIMITED,"Feb 07, 1995 - Perpetual"
ADINATH STOCK BROKING PRIVATE LIMITED,adinathgroup@gmail.com,Adinathgroup,INZ000204337,002482243333,"1, RUNWAL COMPLEX,OPP. HANUMAN MANDIR, OLD MONDHA,JALNA",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Mar 14, 2007 - Perpetual"
ADITYA BIRLA MONEY LIMITED,murali.lr@adityabirlacapital.com,Murali.lr,INZ000172636,914439190002,"Indian Rayond Compound, Veraval",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Aug 12, 2009 - Perpetual"
ADROIT FINANCIAL SERVICES (IFSC) PRIVATE LIMITED,infoifsc@adroitfinancial.com,Infoifsc,INZ000159538,911204550300,"UNIT NO 502, 5th FLOOR SIGNATURE BUILDING BLOCK-13, ROAD 1C, ZONE-1, GIFT SEZ, GIFT CITY",INDIA INTERNATIONAL EXCHANGE (IFSC) LIMITED,"Nov 20, 2017 - Perpetual"
ADROIT FINANCIAL SERVICES PVT. LTD.,atulkgupta@adroitfinancial.com,Atulkgupta,INZ000173137,9107966615851,"301-302, Sakar-II, Ellis Bridge Corner, Ashram Road, Ahmedabad",BOMBAY STOCK EXCHANGE LIMITED,"Jan 12, 1996 - Perpetual"
ADROIT SHARE & STOCK BROKER PRIVATE LIMITED,adroit_sbltd@yahoo.com,Adroit_sbltd,INZ000278739,9102228230808,"1,NAVRATNA CHS LTD, HANUMAN ROAD VILE PARLE (EAST)",METROPOLITAN STOCK EXCHANGE,"Jun 14, 2006 - Perpetual"
ADVENT STOCK BROKING PRIVATE LIMITED,info@adventmoney.in,Info,INZ000268635,910339831001642,"3B, Lal Bazar Street G3 , Ground Floor,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Jun 14, 2006 - Perpetual"
ADWEALTH STOCK BROKING PRIVATE LIMITED,knjain@knjainco.com,Knjain,INZ000005538,9103340302999,"16, STRAND ROAD, FAIRLIE, 5TH FLOOR, ROOM NO.507, BBD BAG,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Mar 24, 2015 - Perpetual"
AETRAM TRADES PRIVATE LIMITED,info@atm-mcx.com,Info,INZ000309838,0000000000,"No.177, Unit no.409 Beta Wing, Raheja Towers, Annasalai",BOMBAY STOCK EXCHANGE LIMITED,"Nov 22, 2022 - Perpetual"
AFFINITY SECURITIES PRIVATE LIMITED,manishchandak@theaffinity.in,Manishchandak,INZ000181836,913340042356,"SHAILA TOWERS ROOM NO 903, J1/16 EP & GP BLOCK SALT LAKE SECTOR V",BOMBAY STOCK EXCHANGE LIMITED,"Dec 28, 2012 - Perpetual"
AFFLUENCE SHARES AND STOCKS PRIVATE LIMITED,compliance@affluencetrade.com,Compliance,INZ000173635,07967776555,"BLOCK A-406, 4TH FLOOR, SAFAL PROFITAIRE, NR. KRISHNA BUNGALOWS, 100 FT ROAD, PRAHLADNAGAR,",NSE Clearing Limited,"Dec 03, 2012 - Perpetual"
AFN LANGRANA SHARE & STOCK BROKERS PVT. LTD.,admin@afnlangrana.com,Admin,INZ000249037,9102222672010,"106, Veena Chambers, 21 Dalal Streer, Fort,",NSE Clearing Limited,"Dec 19, 1997 - Perpetual"
AGRA SECURITY TRADERS PRIVATE LIMITED,agrasecurity@gmail.com,Agrasecurity,INZ000238130,9105622526022,"109 PUNEET VRINDAVAN,NEAR SHAHEED SMARAK PARK SANJAY PLACE",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Sep 28, 2010 - Perpetual"
AGROY FINANCE & INVESTMENT LIMITED,tushar@agroy.com,Tushar,INZ000185530,0918448897100,"A-21, FIRST FLOOR KAILASH COLONY",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Feb 07, 1995 - Perpetual"
AIRAN FINSTOCKS PRIVATE LIMITED,info@airanfinstocks.com,Info,INZ000214031,9107940222666,"UNIT NO. 1D,GIFT ONE BUILDING,3RD FLOOR, GANDHINAGAR",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Dec 11, 2008 - Perpetual"
AIWIN INVESTMENT MONEY,getintouch@aiwinmoney.com,Getintouch,INZ000036426,9104430201515,"No.23 E 1st Floor, West Park Road Shenoy Nagar",NSE Clearing Limited,"Jul 14, 2022 - Perpetual"
AJAY ISHWARLAL DALAL,anandajaysecurities@gmail.com,Anandajaysecurities,INZ000228615,9102222721283,"PS1, ROTUNDA BUILDING, 2ND FLOOR, STOCK EXCHANGE BUILDING, DALAL STREET, FORT.",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Jul 22, 2005 - Perpetual"
AJAY RASIKLAL VORA,voraajay@hotmail.com,Voraajay,INZ000222412,9102222721730,"715,Rotunda, 7th Floor B.S. Marg",BOMBAY STOCK EXCHANGE LIMITED,"May 26, 1994 - Perpetual"
AJCON GLOBAL SERVICES LTD.,ankit@ajcon.net,Ankit,INZ000173933,912267160400,"408, A - WING , EXPRESS ZONE, NEAR PATEL'S WESTEREN EXPRESS HIGHWAY, GOREGAON EAST,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Sep 23, 1994 - Perpetual"
AJIT CHHOTALAL PAREKH,parekh_kishan@rediffmail.com,Parekh_kishan,INZ000226812,9102222721696,"629, Rotunda Building, Mumbai Samachar Marg, Fort",BOMBAY STOCK EXCHANGE LIMITED,"Aug 07, 2003 - Perpetual"
AJMERA ASSOCIATES LIMITED,compliance@ajmera.co.in,Compliance,INZ000177531,0040628883,"AJMERA HOUSE, 4th Floor PATHAKWADI, MUMBAI CITY,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Aug 19, 2002 - Perpetual"
AKD SECURITIES PVT. LTD.,akdsec@yahoo.co.in,Akdsec,INZ000230135,9102266335131,"1014, STOCK EXCHANGE TOWER, 10TH FLOOR, DALAL STREET, FORT",BOMBAY STOCK EXCHANGE LIMITED,"Jan 13, 1998 - Perpetual"
ALACRITY SECURITIES LIMITED,alacritysec@gmail.com,Alacritysec,INZ000215936,9102228073967,"101 B HARIDARSHAN, BHOGILAL FADIA ROAD, KANDIVALI",NSE Clearing Limited,"May 20, 1996 - Perpetual"
ALANKIT IMAGINATIONS LIMITED,mcag@alankit.com,Mcag,INZ000028539,01142541783,"205 208 ANARKALI COMPLEX, JHANDEWALAN EXTN",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Dec 22, 2015 - Perpetual"
ALB STOCK BROKING PRIVATE LIMITED,albstock@yahoo.com,Albstock,INZ000257335,9107966623866,"SHAAN 203, NEAR SAKAR 2, OPP.TOWN HALL, B H SAKAR 4, ELLISBRIDGE,",NSE Clearing Limited,"Dec 21, 2009 - Perpetual"
ALDAN INVESTMENTS PRIVATE LIMITED,chirag@aldaninvestments.com,Chirag,INZ000279438,9102226348851,"701,HERITAGE PLAZA J.P.ROAD, ANDHERI (WEST)",BOMBAY STOCK EXCHANGE LIMITED,"Feb 15, 2000 - Perpetual"
ALICE BLUE FINANCIAL SERVICES PRIVATE LIMITED,compliance@aliceblueindia.com,Compliance,INZ000156038,914244021124,"Old No. 56/2, New No. 58, LIC Nagar, Vinayagar Kovli Street-8,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Sep 11, 2017 - Perpetual"
ALLEGRO SECURITIES PRIVATE LIMITED,aaaa@aaa.com,Aaaa,INZ000255731,9108060607888,"9TH FLOOR, NO.2, THE RESIDENCY, RESIDENCY ROAD,",NSE Clearing Limited,"Jun 12, 2008 - Perpetual"
ALLREACH COMMODITIES INDIA PRIVATE LIMITED,allreachcom@gmail.com,Allreachcom,INZ000074235,09104400000,"No B-4, Basement, Chella Mal No 11-11 A, Sri Thiyagaraya Road, T Nagar,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Feb 01, 2022 - Perpetual"
ALLWIN SECURITIES LIMITED,allwinsc@yahoo.com,Allwinsc,INZ000239635,9102243446401,"B-205/206 RAMJI HOUSE 30, JAMBOOLWADI, KALBADEVI ROAD",BOMBAY STOCK EXCHANGE LIMITED,"Sep 02, 2005 - Perpetual"
ALMONDZ GLOBAL SECURITIES LIMITED,anuj.kalia@almondz.com,Anuj.kalia,INZ000213936,9101141514666,"3, SCINDIA HOUSE,2ND FLOOR, JANPATH",NSE Clearing Limited,"Jun 20, 1996 - Perpetual"
ALPHAGREP SECURITIES PRIVATE LIMITED,braghavendra-@alpha-grep.com,Braghavendra-,INZ000007930,9107922496862,"UNIT NO.505A & 505B, 5TH FLOOR, BLOCK NO. 51, ROAD 5E, ZONE 5, WTC GIFT CITY,",BOMBAY STOCK EXCHANGE LIMITED,"Sep 21, 2020 - Perpetual"
AMAR & SONS STOCK BROKING PVT. LTD.,abcd@aaa.com,Abcd,INZ000213331,9103322207785,"ROOM NO.5,5TH FLOOR 9,INDIA EXCHANGE PLACE",METROPOLITAN STOCK EXCHANGE,"Nov 16, 2000 - Perpetual"
AMAR ALLIANCE SECURITIES PRIVATE LIMITED,admin@amaralliance.com,Admin,INZ000155134,9101147085000,"105/38, Suryadeep Building Wazirpur Commercial Complex",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Jul 13, 2017 - Perpetual"
AMBALAL SHARES & STOCKS PRIVATE LIMITED,jawarijain@ambalalshares.com,Jawarijain,INZ000219137,914168220006115,"Plot No 2,Kewalchand Palza,Brindavan Street Ambalal Green City, Old bye Pass Road",NSE Clearing Limited,"Mar 10, 2011 - Perpetual"
AMBIT CAPITAL PVT. LTD.,allbackoffice@ambitcapital.com,Allbackoffice,INZ000259334,9102230433000,"AMBIT HOUSE,SECOND FLOOR, 449, SENAPATI BAPAT MARG,",NSE Clearing Limited,"Dec 26, 2005 - Perpetual"
AMBIT SECURITIES BROKING PVT. LTD.,ambit@ambitsec.com,Ambit,INZ000255231,9102242190001,"201, HERITAGE PLAZA, TELI GULLY CROSS ROAD,",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Jan 17, 2005 - Perpetual"
AMGIS HOLDINGS PRIVATE LIMITED,murtuza_mak@hotmail.com,Murtuza_mak,INZ000262235,9102256585400,"1401 RAHEJA CENTRE, 14TH FLOOR, FREE PRESS MARG, NARIMAN POINT",NSE Clearing Limited,"Dec 16, 1994 - Perpetual"
AMIT JASANI FINANCIAL SERVICES PVT. LTD.,amit@nayaissue.com,Amit,INZ000280133,9102266145678,"3RD FLOOR, HIND RAJASTHAN CHAMBERS,6 OAK LANE,FORT",METROPOLITAN STOCK EXCHANGE,"Jun 07, 2000 - Perpetual"
AMIT NALIN SECURITIES PVT.LTD.,npshah_67@yahoo.com,Npshah_67,INZ000244134,9102222854721,"142 A, Mittal Tower Nariman Point",NSE Clearing Limited,"Dec 30, 1997 - Perpetual"
AMIT SAHITA FINANCE PVT. LTD.,amitsahita@hotmail.com,Amitsahita,INZ000230731,9102222721600,"PG - 15, Rotunda Building, Dalal Street, Fort,",BOMBAY STOCK EXCHANGE LIMITED,"Dec 23, 1998 - Perpetual"
AMOL CAPITAL MARKETS PVT. LTD.,amol.cap@gmail.com,Amol.cap,INZ000253632,9102222855168,"106, 1ST FLOOR, 22-D MOTALIBAI WADIA BUILDING, S.A BRELVI ROAD, FORT",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Apr 26, 2000 - Perpetual"
AMRAPALI CAPITAL & FINANCE SER LTD.,basheri.nirav@amrapali.com,Basheri.nirav,INZ000269735,919925206157,"UNIT NO PO5-02E,5th Floor Tower A, WTC Gift City",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Aug 08, 1995 - Perpetual"
AMU SHARES & SECURITIES LIMITED,arvindshah@amushares.com,Arvindshah,INZ000277131,9102226234700,"2A PUSHPAM, 6 KANDUBHAI DESAI ROAD, VILE PARLE (W)",METROPOLITAN STOCK EXCHANGE,"May 20, 1996 - Perpetual"
ANAND JHAVERI FINCON PVT. LTD.,anandfincon@yahoo.com,Anandfincon,INZ000238834,9102222723216,"PM-11 ROTUNDA BUILDING, BOMBAY STOCK EXCHANGE, DALAL STREET, FORT,",BOMBAY STOCK EXCHANGE LIMITED,"Jun 07, 1995 - Perpetual"
ANAND RATHI INTERNATIONAL VENTURES (IFSC) PRIVATE LIMITED,deepakkedia@rathi.com,Deepakkedia,INZ000292939,02262817190,"UNIT NO. 634, SIGNATURE, 6TH FLOOR, BLOCK 13B, ZONE 1, GIFT SEZ, GIFT CITY",INDIA INTERNATIONAL EXCHANGE (IFSC) LIMITED,"Feb 12, 2020 - Perpetual"
ANANT INVESTMENTS PRIVATE LIMITED,anant08155@gmail.com,Anant08155,INZ000237633,9102228908642,"1014, Gold Crest Business Centre, L T Road, Borivali West",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Aug 20, 2010 - Perpetual"
ANG CAPITAL SERVICES PRIVATE LIMITED,angcap@angcapital.in,Angcap,INZ000174838,9101204232212,"VC-1, 2nd Floor, Above HDFC Bank Sector-3",NSE Clearing Limited,"Jun 20, 2008 - Perpetual"
ANGEL BROKING PRIVATE LIMITED,compliance@angelbroking.com,Compliance,INZ000161534,9102240003600,"G-1, Ackruti Trade Center, MIDC, Road No.7 Andheri (East), Mumbai",METROPOLITAN STOCK EXCHANGE,"Jan 13, 1998 - Perpetual"
ANGEL SECURITIES LIMITED,secretarial@angelbroking.com,Secretarial,INZ000245435,9102239357600,"601, 06th FLOOR, ACKRUTI STAR, CENTRAL ROAD, MIDC, ANDHERI (EAST),",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Jan 13, 1998 - Perpetual"
ANIL R PARIKH,anilparikh@hotmail.com,Anilparikh,INZ000228316,9102222721699,"716, 7TH FLOOR ,ROTUNDA BUILDING ,STOCK EXCHANGE TOWER, DALAL STREET, FORT",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Nov 29, 1996 - Perpetual"
ANISHA FINCAP CONSULTANTS LLP,contact@anishafincap.com,Contact,INZ000102764,416679304167930,"56/33,site- IV industrial area,sahibabad",NATIONAL STOCK EXCHANGE OF INDIA LIMITED,"Mar 22, 2017 - Perpetual"
ANJANEY STOCK BROKING LTD.,asbltd@hotmail.com,Asbltd,INZ000263532,9103322480435,"ROOM NO.409,4TH FLOOR 6,WATERLOO STREET",BOMBAY STOCK EXCHANGE LIMITED,"Oct 21, 2005 - Perpetual"
ANS PVT. LTD.,compliance@anspl.net,Compliance,INZ000196431,9102816699300,"501, 502 and 502A, 5th Floor, DSCCL(53E), Block 53, Road 5 E, Zone 5, Gift City,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Mar 11, 2004 - Perpetual"
ANTIQUE STOCK BROKING (IFSC) LIMITED,complianceifsc@antiquelimited.com,Complianceifsc,INZ000099531,912240313461,"UNIT NO. 314, SIGNATURE BUILDING, BLOCK 13B, ZONE-1, GIFT SEZ, GANDHINAGAR",INDIA INTERNATIONAL EXCHANGE (IFSC) LIMITED,"Jan 15, 2017 - Perpetual"
ANTIQUE STOCK BROKING LIMITED,jignesh@antiquelimited.com,Jignesh,INZ000001131,9102240313315,"ITI House, 36 Dr. R. K. Shirodkar Road, Parel, Mumbai - 400012",NSE Clearing Limited,"Nov 28, 2014 - Perpetual"
ANURITI MULTY BROKING PRIVATE LIMITED,anuriti.direct@gmail.com,Anuriti.direct,INZ000233538,9101145044439,"17A/55, FARSIGHT TRIVENI PLAZA, GURUDWARA ROAD KAROL BAGH,",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Apr 25, 2012 - Perpetual"
ANUSH SHARES & SECURITIES PRIVATE LIMITED,anush@vsnl.com,Anush,INZ000271235,910444616721,"NO.247(OLD NO. 119), R. K. MUTT ROAD,",METROPOLITAN STOCK EXCHANGE,"Oct 05, 2000 - Perpetual"
ANVIL SHARE AND STOCK BROKING PRIVATE LIMITED,jp@anvil.co.in,Jp,INZ000232336,9102267777979,"Kaledonia, 8th Floor, Office No. 802, Sahar Road, Off Western Express Highway, Andheri",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Dec 30, 1998 - Perpetual"
ARCADIA INTERNATIONAL (IFSC) PRIVATE LIMITED,md@arcadiashare.com,Md,INZ000098533,9109322235074,"UNIT - 315, 3RD FLOOR, SIGNATURE TOWER, BLOCK 13 B, ZONE - 1, GIFT SEZ,",INDIA INTERNATIONAL EXCHANGE (IFSC) LIMITED,"Jan 15, 2017 - Perpetual"
ARCH FINANCE LTD,archfin@archfin.com,Archfin,INZ000206539,00119311011613,"1ST FLOOR,81,DARYA GANJ EAST DELHI",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Sep 11, 1997 - Perpetual"
ARETE SECURITIES LTD.,complianceofficer@aretesecurities.com,Complianceofficer,INZ000241036,910240439000,"101 A , 10TH FLOOR, MITTAL COURT, NARIMAN POINT",METROPOLITAN STOCK EXCHANGE,"Feb 18, 2002 - Perpetual"
ARHAM SHARE PRIVATE LIMITED,yashnmehta1@gmail.com,Yashnmehta1,INZ000175534,026141072222,"15th Floor, Unit no 1B,Gift One Building Village Ratanpur, Taluka Gandhinagar",BOMBAY STOCK EXCHANGE LIMITED,"Jan 13, 2011 - Perpetual"
ARHAM WEALTH MANAGEMENT PRIVATE LIMITED,arhamwealthsurat@gmail.com,Arhamwealthsurat,INZ000189034,9102614245924,"UNIT NO 1,27TH FLOOR, GIFT TWO BUILDING BLOCK NO 56,ROAD 5C,ZONE 5,GIFT CITY",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Jul 23, 2014 - Perpetual"
ARIHANT CAPITAL IFSC LIMITED,surabh.jain@arihantcapital.com,Surabh.jain,INZ000157539,09107314217100,"Unit No. 424, Signature Building, Fourth Floor, Block 13B Zone 1 GIFT SEZ",NSE IFSC LIMITED,"Sep 25, 2017 - Perpetual"
ARIHANT CAPITAL MARKETS LIMITED,compliance@arihantcapital.com,Compliance,INZ000180939,9107314217100,"6 Lad colony, Y .N Road",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Sep 14, 1995 - Perpetual"
ARIHANT COMMO DERIVATIVES PRIVATE LIMITED,acdpl.2010@gmail.com,Acdpl.2010,INZ000303435,091033000000,"FL- G8, 6, Brabourne Road,",NSE Clearing Limited,"May 24, 2023 - Perpetual"
ARISTON CAPITAL SERVICES PRIVATE LIMITED,compliance@ariscap.com,Compliance,INZ000162033,002266892400,"JET PRIME, 4TH FLOOR 39-B SUREN ROAD, NEAR GURU NANAK PETROL PUMP",NSE Clearing Limited,"Sep 30, 2008 - Perpetual"
ARISTRO CAPITAL MARKETS LIMITED,compliance@aristrocapital.com,Compliance,INZ000219238,0919007653210,"GOLDEN RESIDENCY, 4TH FLOOR, 25A, S.P. MUKHERJEE ROAD BHAWANIPUR, KOLKATA",BOMBAY STOCK EXCHANGE LIMITED,"Jul 19, 2023 - Perpetual"
ARJ SECURITIES PVT. LTD.,premal@arjsecurities.com,Premal,INZ000237937,9102240251106,"48&49,4TH FLOOR,226,BAJAJ BHAVAN BARRISTER RAJANI PATEL MARG,NARIMAN POINT,",METROPOLITAN STOCK EXCHANGE,"Oct 26, 1994 - Perpetual"
ARJ SHARES & STOCK BROKERS PRIVATE LIMITED,arj717@gmail.com,Arj717,INZ000236638,9102249671717,"201,SIMBA TOWER,12,ARADHANA INDUSTRIAL ESTATE, OFF WESTERN EXPRESS HIGHWAY,GOREGAON (EAST),",INDIAN CLEARING CORPORATION LIMITED(ICCL),"Jul 26, 1995 - Perpetual"
